Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHS602778,SMALL APPLIANCES,Cuisinart Classic Waffle Maker - Stainless Steel,2,37.99,75.98,Cuisinart,086279245984,94139350,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS248028,SMALL APPLIANCES,"Aroma 1.5qt Stainless Steel Stovetop Kettle Silver: Whistling Tea Kettle with Flip-Up Spout, Small Teapot for Stove",2,12.49,24.98,Aroma,021241400107,91952921,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,NON-ELECTRIC KETTL,irc_small_appliances___floor_care-01_20260417_031_p
LPHS719368,SMALL APPLIANCES,SodaStream Classics 14.9 fl oz Diet Ginger Ale Drink Mix,1,6.99,6.99,SodaStream,811572023829,49136261,Israel,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,GROCERY,N,PTBJ26196,SODASTREAM ACCESSO,irc_small_appliances___floor_care-01_20260417_031_p
LPHS455388,SMALL APPLIANCES,Mr. Coffee 12-Cup Automatic Blade Mill Grinder - Black,1,35.99,35.99,Mr. Coffee,053891154819,81615453,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,COFFEE GRINDER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY755561,SMALL APPLIANCES,Elite Cuisine 2 Cup Electric Citrus Juicer,1,23.99,23.99,Elite Cuisine,717056138389,1006238637,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,JUICER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS989410,SMALL APPLIANCES,"PUR Water Pitcher Replacement Filter - 3 Pack: Reduces Odors, Filters Chlorine & Mercury, 40 Gallon Life, Blue (Please be advised that sets may be missing pieces or otherwise incomplete.)",2,18.99,37.98,PUR Filtration,723987703237,14637120,Mexico,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,PT FILTERS,irc_small_appliances___floor_care-01_20260417_031_p
LPHS708301,SMALL APPLIANCES,SodaStream Starry Lemon Lime Drink Mix,6,6.49,38.94,SodaStream,810055455379,94761213,Israel,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,GROCERY,N,PTBJ26196,SODASTREAM ACCESSO,irc_small_appliances___floor_care-01_20260417_031_p
LPJN542647,SMALL APPLIANCES,Bodum Chambord 8 Cup 34oz Coffee Press Silver,1,39.99,39.99,Bodum,727015995212,14655162,Portugal,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,COFFEE PRESS,irc_small_appliances___floor_care-01_20260417_031_p
LPJY936314,SMALL APPLIANCES,"Dash Egg Bite Maker - Aqua: 4-Egg Cooker, Electric Egg Cooker, Dishwasher-Safe Parts, 420W, Aluminum & Plastic",2,21.99,43.98,Dash,850004115657,78811619,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,EGG COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY794463,SMALL APPLIANCES,LifeStraw Sip Reusable Steel Filter Straw with Carry Case Laguna Teal,1,27.49,27.49,LifeStraw,7640144289102,93996872,"Korea, Republic of",MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,HOME,N,PTBJ26196,STRAWS,irc_small_appliances___floor_care-01_20260417_031_p
LPJY883931,SMALL APPLIANCES,LARQ 4pk Bottle Neon Handles (Please be advised that sets may be missing pieces or otherwise incomplete.),2,17.99,35.98,LARQ,850032674768,94961243,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,HOME,N,PTBJ26196,WATER BOTTLES,irc_small_appliances___floor_care-01_20260417_031_p
LPJY926095,SMALL APPLIANCES,"Bodum Schiuma Milk Frother - Black: Handheld Frother Wand for Coffee, Battery-Powered, Stainless Steel & Plastic",15,9.99,149.85,Bodum,727015012049,21561851,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FROTHER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY712363,SMALL APPLIANCES,Dash Multi Mini Plate Storage Waffle Maker,5,12.74,63.70,Dash,810137391076,94620267,Indonesia,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
