Category,Subcategory,ASIN,Item Description,Qty,Unit Retail,Ext. Retail,Product Class,GL Description,Seller Category,EAN,LPN,UPC,Brand,Condition,Pallet ID,Lot ID
BUILDING_AND_HARDWARE,Pumps,B09SZFHQ3N,"Acquaer Shallow/Deep Well Jet Pump, Cast Iron Convertible Pump with Ejector Kit, Well Depth Up to 25ft or 90ft, 115V/230V Dual Voltage, Automatic Pressure Switch,1HP",1,271.69,271.69,Home Improvement,Home Improvement,Rough Plumbing,0744985596416,LPNNA62Q8FYWG,744985596416,Acquaer,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69172,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Pumps,B0G2LNKF1D,"602208 Cast Iron Shallow Well Jet Pump, 1 HP 23 GPM 115/230V Dual Voltage, RJS-100-PREM Shallow Well Jet Pump for Home, Irrigation & Agriculture",1,493.99,493.99,Home Improvement,Home Improvement,Rough Plumbing,,LPNNA6WFX9NW6,,czobloik,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69648,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0CHYLGQ3Q,"JGWSMQ Tiffany Chandelier 11 Lights Cream Brown Stained Glass Pendant Light Chain Adjustable Victorian Hang Lighting Fixtures for Living Room Dining Room Bedroom Hotel,35 inch",1,479.62,479.62,Home Improvement,Home Improvement,Home Improvement,,LPNNA6BNM5KD2,,JGWSMQ,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69172,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0DN4PWP82,"Wedding Electric Butterfly Floor Lamp: Giant Moving LED Butterflies Decoration with Movement & Lights Up - Big Movable Butterfly Props with Flapping Wings - for Birthday Party (White Light, 31.4 IN)",1,452.61,452.61,Home Improvement,Home Improvement,Home Improvement,,LPNNA6X17SZY8,,YM sky,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69742,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Outdoor & Landscape Lighting,B0FVM1G5TR,"TODOLUZ 2-Packs Large 3-Lights LED Outdoor Wall Light Fixture, Dimmable 5CCT Waterproof Exterior Porch Wall Sconce Lighting for Garage Front Door (3000K/3500K/4500K/5000K/6000K)",1,441.99,441.99,Home Improvement,Home Improvement,Lighting & Fans,,LPNNA6Z17TF5Z,,TODOLUZ,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69648,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0FGXZ3MJH,Drydiet 323 Sqft Uncoupling Membrane for Tile 1/8''(3mm) Thick Waterproofing Membrane Crack Prevention Anti Fracture Flooring Underlayment for Bathroom Shower Kitchen Basement(Blue),1,415.99,415.99,Home Improvement,Home Improvement,Home Improvement,,LPNNA67Q58C49,,Drydiet,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69519,AMZ_3PL_20260409_025
MIXED_BUILDING_AND_INDUSTRIAL,"Heating, Cooling, Drying and Distillation",B0GF2V8WDQ,"HKDQ Egg Incubator - 2026 New Egg Incubator with Automatic Egg Turning and Humidity Control,Large Poultry Hatcher for Chickens Birds Ducks (288 Eggs)",1,389.97,389.97,Home Improvement,BISS,"Labware, Consumables & Furniture",,LPNNA6JM14Q6K,,HKDQ,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69172,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0CQ832NDC,"Emliviar 32 Inch Outdoor Front Door Hanging Light, Farmhouse Exterior Pendant Lantern Waterproof Ceiling Mount with Seeded Glass, Black Finish, XE283H BK",1,376.99,376.99,Home Improvement,Home Improvement,Home Improvement,,LPNNA651134MZ,,Emliviar,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69399,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0DR1ZMJB2,"Wellmet Firework Cryatsl Chandelier 30 inch, Gold Fiore Chandeliers Mid Century Modern Contemporary Brass Chandelier Light Fixture for Dining Room Living Room Bedroom Hallway Entryway Foyer",1,369.27,369.27,Home Improvement,Home Improvement,Home Improvement,,LPNNA6DV7HL7H,,Wellmet,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69729,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0F1FWHP8M,"Gefolly SL-9800W Solar Street Lights Outdoor, 860000LM Commercial Parking Lot Light, 6500K Dusk to Dawn IP67 Security Flood Lights Motion Sensor Led Lamp for Basketball Court, Road, Yard",1,358.14,358.14,Home Improvement,Home Improvement,Home Improvement,,LPNNA6JSHS7MH,,Gefolly,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69302,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0C9LMNL4C,"Electric Tankless Water Heater SIVUATEK 24kW, 240V - On-Demand Hot Water for Whole House - ETL Certified, Self Modulating - Compact Design for Easy Installation - for 4 Point of Use Hot Water",1,350.34,350.34,Home Improvement,Home Improvement,Home Improvement,,LPNNA6BXGSM8X,,SIVUATEK,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69699,AMZ_3PL_20260409_025
