Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHR015418,BICYCLES-PHYSICAL FITNESS,"19"" Backpack Black - All In Motion: Lightweight Polyester, Adjustable Straps",1,30.00,30.00,All In Motion,191907491562,79767253,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,APPAREL,TT,PTAP16634,BAGS,irc_bicycles_physical_fitness_20260417_253_p
LPHR304290,BICYCLES-PHYSICAL FITNESS,24oz Stainless Steel Vacuum Insulated Water Bottle Chalk - All In Motion: Portable Drinkware,2,15.00,30.00,All In Motion,707849153170,90796150,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS434365,BICYCLES-PHYSICAL FITNESS,Yoga Knit Socks - 4-10 - All In Motion,3,10.00,30.00,All In Motion,198850949911,94660834,Pakistan,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,APPAREL,TT,PTAP16634,YOGA,irc_bicycles_physical_fitness_20260417_253_p
LPHR328292,BICYCLES-PHYSICAL FITNESS,"Bluey 10"" Fly Wheel Kids' Tricycle with Electronic Sound",1,29.99,29.99,Bluey,192995610057,88232450,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20859,TRIKES,irc_bicycles_physical_fitness_20260417_253_p
LPJY542084,BICYCLES-PHYSICAL FITNESS,Owala 24oz Stainless Steel Straw Tumbler - Alpine Sport,1,29.99,29.99,Owala,847280085293,89056683,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPHR270382,BICYCLES-PHYSICAL FITNESS,"Chirp Wheel XR 4"" Back Stretcher: Upper Body Muscle Relief, 500 lb Capacity",1,29.99,29.99,Chirp,810091140536,90469169,United States of America,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHS763834,BICYCLES-PHYSICAL FITNESS,Owala 20oz SmoothSip Slider Coffee Tumbler - Tangy Tango Orange,1,29.99,29.99,Owala,847280095988,92383286,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,WARM BEV,irc_bicycles_physical_fitness_20260417_253_p
LPHS776358,BICYCLES-PHYSICAL FITNESS,McDavid Sport Ankle Brace - Black - S,1,29.99,29.99,McDavid,029369148284,86205166,"Taiwan, Province of China",OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16634,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR015461,BICYCLES-PHYSICAL FITNESS,Owala 24oz Stainless Steel Straw Tumbler - Electric Orchid,1,29.99,29.99,Owala,847280085132,89056692,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPJY952820,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Twist Stainless Steel Water Bottle – Periwinkle Twinkle,1,29.99,29.99,Owala,847280095926,92383256,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
