Lot ID,Location,Item #,Dept. Code,Department,Item Description,Qty,Unit Retail,Ext. Retail,Model,Serial #,Vendor,Category Code,Seller Category,Category,Condition
6627645,1985,1075112,32,HOUSEWARES,TAYLOR WATERPROOF DIGITAL,3,16.99,50.97,,,LIFETIME BRANDS INC,AMB,Kitchen Essentials,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1988402,32,HOUSEWARES,NEST CANDLE 8.1 OZ,1,46.99,46.99,,,NATIONAL DISTRIBUTORS,HDA,Home Decor,HOME_DECOR,USED_FAIR
6627645,1985,1873241,32,HOUSEWARES,T-FAL CERAMIC NON STICK,1,34.99,34.99,,,GROUPE SEB USA,BAC,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,5543365,33,SMALL APPLIANCES,CONAIR VANITY MIRROR FY26,1,34.99,34.99,,,CONAIR LLC,WEA,Vanity Mirrors,BATHROOM_FIXTURES,USED_FAIR
6627645,1985,1720215,23,HARDWARE,"FEIT 14"" COACH LANTERN",1,29.99,29.99,,,FEIT ELECTRIC COMPANY,ADV,Lighting,LIGHTING,USED_FAIR
6627645,1985,4874103,34,DOMESTICS,AMTEX SEALY DOWNALT KING,1,25.99,25.99,,,AMERICAN TEXTILE CO INC,DAB,Pillows,BEDDING,USED_FAIR
6627645,1985,1298037,32,HOUSEWARES,SNAPWARE 38 PC PLASTIC,1,19.99,19.99,,,FOODSERVICES BRAND GROUP,AAA,Food Storage,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1375801,28,TOYS/SEASONAL,BRAINSTORM X-KITES,1,19.99,19.99,,,BRAINSTORMPRODUCTS LLC,ASA,Toys,TOYS,USED_FAIR
6627645,1985,1780289,33,SMALL APPLIANCES,DASH EGG COOKER DELUXE,1,16.99,16.99,,,STOREBOUND LLC,HIJ,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1803443,32,HOUSEWARES,MIU VEGETABLE CHOPPER SET,1,14.99,14.99,,,MIU LLC,AGF,Food Prep,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1855704,34,DOMESTICS,PURELY 4PK HAND TWL WHITE,1,13.99,13.99,,,WELSPUN USA INC,BAE,Linens,BEDDING,USED_FAIR
6627645,1985,1931883,14,SUNDRIES,CAITEC HERO BALL 2PK,1,13.49,13.49,,,CAITEC INC,KTA,Pet Supplies,PET_SUPPLIES,USED_FAIR
6627645,1985,1959031,23,HARDWARE,GREENMADE INSTACRATE,1,9.99,9.99,,,US MERCHANTS INC,JDA,Storage,OUTDOOR_LIVING_AND_GARDEN,USED_FAIR
