row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1946,22,ZeroWater Replacement Filters 2pk (Please be advised that sets may be missing pieces or otherwise incomplete.),,ZeroWater,,MIXED_SMALL_APPLIANCES,USED_GOOD,,188781000171,2,35.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,10.64,21.28
1947,23,"Chefman 1L Rapid-Boil Kettle with Automatic Shutoff - Black: Glass Electric Water Boiler & Warmer, 1500W Tea Heater",,Chefman,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810087844677,4,17.99,SMALL APPLIANCES | ELECTRIC KETTLES | SMALL APPLIANCES & FLOOR CARE-01,5.32,10.64
1948,24,Bialetti Moka 6 Cup Express Espresso Maker,,Bialetti,,MIXED_SMALL_APPLIANCES,USED_GOOD,,076753068000,1,59.99,SMALL APPLIANCES | ESPRESSO | SMALL APPLIANCES & FLOOR CARE-01,17.74,35.48
1949,25,KitchenAid Ultra Power 5-Speed Hand Mixer Contour Silver,,KitchenAid,,MIXED_SMALL_APPLIANCES,NEW,,883049683522,1,59.99,SMALL APPLIANCES | HAND MIXER | SMALL APPLIANCES & FLOOR CARE-01,17.74,35.48
1950,26,"Dash 3-in-1 Everyday 7-Egg Cooker with Omelet Maker and Poaching - Black: Electric Egg Boiler, Hard Boiled & Poaching",,Dash,,MIXED_SMALL_APPLIANCES,NEW,,856007008286,3,19.99,SMALL APPLIANCES | EGG COOKER | SMALL APPLIANCES & FLOOR CARE-01,5.91,11.82
1951,27,"Dash 3-in-1 Everyday 7-Egg Cooker with Omelet Maker and Poaching - Black: Electric Egg Boiler, Hard Boiled & Poaching",,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,856007008286,3,19.99,SMALL APPLIANCES | EGG COOKER | SMALL APPLIANCES & FLOOR CARE-01,5.91,11.82
1952,28,"GE Appliances XWFE Replacement Refrigerator Water Filter: Filters Pharmaceuticals, Atrazine, Mercury, Lead, Pesticides",,GE Appliances,,MIXED_SMALL_APPLIANCES,USED_GOOD,,084691851615,1,54.99,SMALL APPLIANCES | FRIDGE FILTERS | SMALL APPLIANCES & FLOOR CARE-01,16.26,32.52
1953,29,"Crock-Pot 2qt Manual Slow Cooker - Stainless Steel: 3 Settings, Reheat & Warmer, Stay-Cool Handles, Dishwasher-Safe Parts",,Crock-Pot,,MIXED_SMALL_APPLIANCES,USED_GOOD,,053891143677,3,17.99,SMALL APPLIANCES | SLOW COOKER | SMALL APPLIANCES & FLOOR CARE-01,5.32,10.64
1954,30,"bella 2-Slice Slim Toaster Plum: Metal, 900W, 2-Year Warranty, Spot Clean, 6.85"" H, 3.58"" D, 14.88"" W, 1.98 lbs",,bella Housewares,,MIXED_SMALL_APPLIANCES,USED_GOOD,,829486351648,2,24.99,SMALL APPLIANCES | 2 SLICE TOASTER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
1955,31,"Brita Water Filter 10-Cup Tahoe Water Pitcher Dispenser with Elite Water Filter - White: Easy-Fill Lid, Electronic Indicator",,Brita,,MIXED_SMALL_APPLIANCES,USED_GOOD,,060258506884,1,40.99,SMALL APPLIANCES | PT SYSTEMS | SMALL APPLIANCES & FLOOR CARE-01,12.12,24.24
1956,32,Gourmia 4 Shot Steam Espresso Maker with Frothing Wand Black/Stainless Steel Finish,,Gourmia,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810002864377,1,39.99,SMALL APPLIANCES | ESPRESSO | SMALL APPLIANCES & FLOOR CARE-01,11.83,23.66
