row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1770,834,"Tommie Copper Sport Compression Ankle Support Sleeve - L/XL: Joint Support, Polyester",,Tommie Copper,,OUTDOOR_SPORTS,USED_GOOD,,018713631800,2,10.89,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,2.41,4.82
1771,835,Muscle Hook Acupressure Massager - Black - All In Motion,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191802002047,1,21.00,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,4.64,9.28
1772,836,Raskullz Super Rainbowcorn Child Bike Helmet,,Raskullz,,OUTDOOR_SPORTS,USED_GOOD,,847268000423,1,20.99,BICYCLES-PHYSICAL FITNESS | CHILD HELMETS | BICYCLES PHYSICAL FITNESS,4.64,9.28
1773,837,"Men's Strength Training Gloves Black M - All In Motion: Neoprene, Weightlifting",,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191907562804,2,10.00,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,2.21,4.42
1774,838,64oz Stainless Steel Vacuum Insulated Water Bottle Chalk - All In Motion: Portable Drinkware,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,707849153200,1,20.00,BICYCLES-PHYSICAL FITNESS | LARGE CAPACITY | BICYCLES PHYSICAL FITNESS,4.42,8.84
1775,839,"Belt Fanny Pack Cream - All In Motion: Adjustable Strap, Solid Pattern",,All In Motion,,OUTDOOR_SPORTS,NEW,,198420122867,1,20.00,BICYCLES-PHYSICAL FITNESS | BAGS | BICYCLES PHYSICAL FITNESS,4.42,8.84
1776,840,"Belt Fanny Pack Blush - All In Motion: Adjustable Strap, Solid Pattern",,All In Motion,,OUTDOOR_SPORTS,NEW,,198420122980,1,20.00,BICYCLES-PHYSICAL FITNESS | BAGS | BICYCLES PHYSICAL FITNESS,4.42,8.84
1777,841,Yoga Mat Towel Gray- All In Motion: Polyester Sports Accessory,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,191907491616,1,20.00,BICYCLES-PHYSICAL FITNESS | YOGA | BICYCLES PHYSICAL FITNESS,4.42,8.84
1778,842,64oz Stainless Steel Vacuum Insulated Water Bottle Black - All In Motion: Portable Drinkware,,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,707849153194,1,20.00,BICYCLES-PHYSICAL FITNESS | LARGE CAPACITY | BICYCLES PHYSICAL FITNESS,4.42,8.84
1779,843,Gaiam Studio Select 3-in-1 Resistance Tube,,Gaiam,,OUTDOOR_SPORTS,USED_GOOD,,018713665294,1,19.99,BICYCLES-PHYSICAL FITNESS | STRENGTH TRAINING | BICYCLES PHYSICAL FITNESS,4.42,8.84
