row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
2098,39,TRAMONTINA 3PC SS CERAMIC,,TRAMONTINA USA INC,,KITCHEN_AND_DINING,USED_FAIR,,,1,59.99,Lot: 6627645 | Location: 1985 | Seller Category: Cookware,10.63,21.26
2099,40,CUISINART BREWCENTRAL 14C,,CONAIR LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,49.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,8.86,17.72
2100,41,CUIS IMMERSION BLENDR,,CONAIR LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,39.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,7.09,14.18
2101,42,"GREENPAN 15"" PAELLA PAN",,THE COOKWARE COMPANY USA,,KITCHEN_AND_DINING,USED_FAIR,,,1,28.99,Lot: 6627645 | Location: 1985 | Seller Category: Cookware,5.14,10.28
2102,43,BELLEVUE EMBOSSED 12OZ,,MAYFIELD CONSUMER PRODUCT,,HOME_DECOR,USED_FAIR,,,1,19.99,Lot: 6627645 | Location: 1985 | Seller Category: Home Decor,3.54,7.08
2103,44,BLENDERBOTTLE STRADA 28OZ,,TROVE BRANDS LLC,,KITCHEN_AND_DINING,USED_FAIR,,,1,18.99,Lot: 6627645 | Location: 1985 | Seller Category: Drinkware,3.36,6.72
2104,45,GB STORAGE BASKETS 4PK,,LIFETIME BRANDS INC,,STORAGE,USED_FAIR,,,1,12.99,Lot: 6627645 | Location: 1985 | Seller Category: Storage/Laundry,2.30,4.60
2105,46,NAPOLEON 4 BURNER GAS,,WOLF STEEL ACQUISITION LL,,GRILLS,USED_FAIR,,,1,649.99,Lot: 6627645 | Location: 1985 | Seller Category: Grills,115.17,230.34
2106,47,FOODSAVER VAC SEAL VS2280,,NEWELL BRANDS DIST LLC,,KITCHEN_AND_DINING,USED_FAIR,,,4,129.99,Lot: 6627645 | Location: 1985 | Seller Category: Food Storage,23.03,46.06
2107,48,BE GAS PRESSURE WASHER,,BE POWER EQUIPMENT USA IN,,OUTDOOR_POWER_EQUIPMENT,USED_FAIR,,,1,429.99,Lot: 6627645 | Location: 1985 | Seller Category: Pressure Washers,76.19,152.38
2108,49,FOODSAVER VACUUM SEALER,,NEWELL BRANDS DIST LLC,,KITCHEN_AND_DINING,USED_FAIR,,,2,99.99,Lot: 6627645 | Location: 1985 | Seller Category: Food Storage,17.72,35.44
2109,50,SOUNDCORE BOOM V2 BT,,FANTASIA TRADING LLC,,HOME_AUDIO,USED_FAIR,,,1,99.99,Lot: 6627645 | Location: 1985 | Seller Category: Speakers,17.72,35.44
2110,51,LAGUNA INDOOR/OUTDOOR,,GA GERTMENIAN AND SONS,,RUGS,USED_FAIR,,,1,79.99,Lot: 6627645 | Location: 1985 | Seller Category: Rugs,14.17,28.34
2111,52,NUWAVE BRIO 6QT AIR FRYER,,NUWAVE LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,69.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,12.40,24.80
2112,53,KOHLER TELLIN HANDHELD,,KOHLER COMPANY,,BATHROOM_FIXTURES,USED_FAIR,,,1,54.99,Lot: 6627645 | Location: 1985 | Seller Category: Bathroom/Kitchen Hardware,9.74,19.48
2113,54,TAYLOR WATERPROOF DIGITAL,,LIFETIME BRANDS INC,,KITCHEN_AND_DINING,USED_FAIR,,,3,16.99,Lot: 6627645 | Location: 1985 | Seller Category: Kitchen Essentials,3.01,6.02
2114,55,NEST CANDLE 8.1 OZ,,NATIONAL DISTRIBUTORS,,HOME_DECOR,USED_FAIR,,,1,46.99,Lot: 6627645 | Location: 1985 | Seller Category: Home Decor,8.33,16.66
2115,56,T-FAL CERAMIC NON STICK,,GROUPE SEB USA,,KITCHEN_AND_DINING,USED_FAIR,,,1,34.99,Lot: 6627645 | Location: 1985 | Seller Category: Cookware,6.20,12.40
2116,57,CONAIR VANITY MIRROR FY26,,CONAIR LLC,,BATHROOM_FIXTURES,USED_FAIR,,,1,34.99,Lot: 6627645 | Location: 1985 | Seller Category: Vanity Mirrors,6.20,12.40
2117,58,"FEIT 14"" COACH LANTERN",,FEIT ELECTRIC COMPANY,,LIGHTING,USED_FAIR,,,1,29.99,Lot: 6627645 | Location: 1985 | Seller Category: Lighting,5.31,10.62
2118,59,AMTEX SEALY DOWNALT KING,,AMERICAN TEXTILE CO INC,,BEDDING,USED_FAIR,,,1,25.99,Lot: 6627645 | Location: 1985 | Seller Category: Pillows,4.61,9.22
2119,60,SNAPWARE 38 PC PLASTIC,,FOODSERVICES BRAND GROUP,,KITCHEN_AND_DINING,USED_FAIR,,,1,19.99,Lot: 6627645 | Location: 1985 | Seller Category: Food Storage,3.54,7.08
2120,61,BRAINSTORM X-KITES,,BRAINSTORMPRODUCTS LLC,,TOYS,USED_FAIR,,,1,19.99,Lot: 6627645 | Location: 1985 | Seller Category: Toys,3.54,7.08
2121,62,DASH EGG COOKER DELUXE,,STOREBOUND LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,16.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,3.01,6.02
2122,63,MIU VEGETABLE CHOPPER SET,,MIU LLC,,KITCHEN_AND_DINING,USED_FAIR,,,1,14.99,Lot: 6627645 | Location: 1985 | Seller Category: Food Prep,2.66,5.32
2123,64,PURELY 4PK HAND TWL WHITE,,WELSPUN USA INC,,BEDDING,USED_FAIR,,,1,13.99,Lot: 6627645 | Location: 1985 | Seller Category: Linens,2.48,4.96
2124,65,CAITEC HERO BALL 2PK,,CAITEC INC,,PET_SUPPLIES,USED_FAIR,,,1,13.49,Lot: 6627645 | Location: 1985 | Seller Category: Pet Supplies,2.39,4.78
2125,66,GREENMADE INSTACRATE,,US MERCHANTS INC,,OUTDOOR_LIVING_AND_GARDEN,USED_FAIR,,,1,9.99,Lot: 6627645 | Location: 1985 | Seller Category: Storage,1.77,3.54
